name|key
hydropower plant construction, reservoir, non-alpine regions|2dd81b3be115a4809487f073872b1c59
pyrethroid-compound production|e5b97c0c354c54768b1290c66a801a6f
energy use and operation emissions, electric bicycle|1ba3ec443fa4b2eed5d9b426aaffcc8e
electricity production, wind, <1MW turbine, onshore|e89bb9340a65ef3744fbb7b13237b117
land already in use, annual cropland to annual crop|7f5c61abce9da1bb9a9ea6cef68d8fdb
fibreboard production, soft, latex bonded|d57d97674a967001d11bb70d1691e285
impact extrusion of aluminium, cold, initial surface treatment|ab2e0c6ebe82d31d8e84021fae7bb2b3
market for used fluorescent lamp|db34f4438d1c0c06b96c2f704e37f135
selective coating, copper sheet, physical vapour deposition|e49f99301871c6bd7a3e6954ebb2a4bd
salt production from seawater, evaporation pond|231bde3c0b2798841104b8ffee897b9b
treatment of waste paperboard, unsorted, sorting|30458c26838e9b6c4821b3ce14426f24
market for selective coat, stainless steel sheet, black chrome|f1282ed37c71f4b139044c84964d38cb
acrylonitrile-butadiene-styrene copolymer production|cf44be37589edf5b5e52d91e758da394
cement production, Portland|8a594c67fa60d13f10214fd12acf7b5c
market for 2,4-dichlorophenol|57b1b8c9ae816e65b827751ef3e1734f
market for plastic tunnel|0b50f44b1e11cc51885c4e41443c4d3f
sour gas, burned in gas turbine|2b9ef0ea2acab80376b290c5314fe124
transport, trolleybus|5061f1bf1d0b99db533ac118369bdcae
market for paper mill, non-integrated|445b50260713d7ec45756c5be02e8cb4
transport, freight train, diesel, with particle filter|4af00e7e07b810ca365da90b165a563c
treatment of used blower and heat exchange unit, decentralized, 180-250 m3/h|5daceeef4525d259bf7d5c91388cbc70
manual dismantling of used passenger car with internal combustion engine|8098ef513d9b5dd4d0e1014e90d526fd
clinker production|8371f4db8aa110dd8955ae5faff07515
landed tuna to generic market for marine fish|62214d3801dd4404d6706cd9d6175068
market for waste polyethylene|8c62a2f96488c4930000e000260cf4d3
hydrogen production, gaseous, petroleum refinery operation|b10b776e3876bf305f31d178ab3d5126
operation, computer, desktop, with cathode ray tube display, off mode|a3ce1abc247923b49da0cb9b22331fe2
water pump operation, electric|39e8df92042013572ee5369e7404479c
market for electricity, low voltage|5da1edb867b8d5dbb93f034190bf53c9
market for waste wood, untreated|fd2f463e22dcc3f59b2260580fd17883
transport, pipeline, offshore, long distance, natural gas|932ba91329a43cef20a4cfde34db310e
transport, passengers, passenger aircraft, short haul|55465578f34a96f270496a4b7462f085
softwood forestry, mixed species, boreal forest|d633bf3c91ff546c0f264ac212fd0280
electricity production, hard coal|2b7f9364e746a182feadc91fadbfe40f
treatment of waste mineral oil, hazardous waste incineration|a56e8f4df60facb78503de1bb69c8ac8
sodium percarbonate production, powder|bf6367e8ca77f5c48d1d52ab530fc4b1
land use change, pasture, man made|0bcd8c81e7056f1b179d3c2e827e11c0
electricity production, wind, 1-3MW turbine, onshore|9690d94d5d7f738df9672e80e1274e8a
green manure growing, organic, until March|359109e1724884330562fd7772ee6efc
market for steel removed by turning, average, computer numerical controlled|fede7b4007eb8768ffada7ba16ee49be
collector field area construction, solar thermal parabolic trough, 50 MW|67984a2db74966dcc5fa81475ee2e5f5
market for transport, passengers, aircraft, short haul|d4e36cf85ad9ab2366b4780ba9917973
electricity production, natural gas, combined cycle power plant|4c0e9ec0a9087143f05904aab241ff29
wood preservation facility construction, vacuum pressure vessel|2909fb2f11c855f674fb50f6f14d80cd
impact extrusion of steel, hot, 2 strokes|c89e66c7c98cf17c25f1e00ea465292b
propylene production, pipeline system|fc09faf3fa58fbbcf93fc633cd33f5fb
market for 2-methyl-1-butanol|baf38a44fc622bd4e55de266a18edf99
market for assembly of generator and motor, auxilliaries and energy use, heat and power co-generation unit, 160kW|b0c025b8a969e73c16da5cda28c02e4b
market for kraft paper, unbleached|8a8961d0193e7c6c0a7b2420d69b42e7
market for natural gas, high pressure|ce0d4f614baf10acec59fd8440a039fd
furnace production, logs, hardwood storage area, 6kW|67113aa4ba042ddfd1e0594d2155d5a1
market for fish residues|ff4e59490080210041215bedfc46f349
electricity production, wind, 1-3MW turbine, onshore|143df8390814d3537f90c62fb7159204
electricity, high voltage, import from IN-North-eastern grid|d4961c8cdc54b353c2e773939ce1f166
hard coal, import from ZA|ff49ff7058c985053abc3ea3455e5c70
treatment of glass cullet, from used cathode ray tube panels, 0% water, inert material landfill|12e430ac49a822f60c1c96fa72b38c60
transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO4, R134a refrigerant, cooling|e15231e3877ec05c0994648fd52fb581
market for nuclear fuel element, for pressure water reactor, UO2 3.8% & MOX|7af0a96dfbd8a0a2f96d368e09be40fc
treatment of municipal solid waste, incineration|84ff9e3bc69c18778def1a6b5712ac2b
market for electricity, medium voltage|01e99f8dd3ef0d870779c6ed8b34b723
market for selective coat, copper sheet, black chrome|c554fabae9bd9fbcbf7fcc9ba420ac6b
photovoltaic flat-roof installation, 3kWp, single-Si, on roof|b06bb8f998d782b15192a2b91d8e796e
market for waste polyvinylchloride|6c51c7e8d3665c57b94659aa6b18a52e
greenhouse construction, plastic walls and roof, metal tubes|d4299523543480a1f56caa48b0a0ba3c
acetic anhydride production, ketene route|42b445af6e9f8861ae78827bad583621
electricity production, wind, <1MW turbine, onshore|dc80bc5566586bd0ff9464e390d71a7f
market for phenol|d8570f9f036502bf173f9625c79fb8c9
market for fish curing, small fish|3dc1601f3cfab75399bedf8afb1e1c6f
heat and power co-generation, wood chips, 6667 kW|66b3af4b05cf9413feef8c1885a3ad6c
electricity production, hard coal|42327a9977ca3411206eb42bf93bc6eb
electricity production, photovoltaic, 3kWp flat-roof installation, single-Si|b8aaa14b03d87297aae92b353ba060b4
fraction 1 from naphtha separation to generic market for chemical, organic|8e68e4e6627fb09551c30971b6909474
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical|5b80872bbfc2b7d38f3cc10ff803c74f
treatment of used tram|43b86c81a49f2dce910560f76617f1c2
market for heat and power co-generation unit, 500kW electrical, components for heat only|352ef4a4b63ed3e547c63e10779604ff
market for ethylene vinyl acetate copolymer|b981cef3d32234615502140f7c74dd88
cement, all types to generic market for cement, unspecified|5be9b8b085a48ce88a38b989fe17b602
electricity production, wind, >3MW turbine, onshore|0cacbd2e22b89de86a343af9e67146c2
treatment of wood ash mixture, pure, landfarming|6d7aad35987719c901be04ea8dcd70b2
heat and power co-generation, natural gas, conventional power plant, 100MW electrical|e5d22b1710a640824a7bccb8a6620275
electricity production, deep geothermal|3eb67934a4e43345b961dc1a6d265e55
hard coal briquettes factory construction|ee3bc100e2cdee3b5ebe3818b52c8492
water works construction, capacity 1.1E10l/year, ultrafiltration treatment|2dd58e3bb7560ed66f9f2e5823b6c02b
market for electricity, high voltage|263d58555db7cc2e7a0fe178f212f85d
graphite production|21b5571f1ea1748bae66200eb7c17c02
building construction, hall, wood construction|80d1d191f6b452df6e20d41c84b1343f
treatment of waste, from silicon wafer production, inorganic, residual material landfill|8fcd91203892850fd67e41ab9ed894be
market for absorption chiller, 100kW|679664428eac6d5e9577c5ffc11ae759
market for aluminium removed by turning, primarily dressing, conventional|1b8ca6f0b10b69699599738574af8e14
electricity production, natural gas, conventional power plant|b75f598f18ebe84eaf20c151412b4c5c
market for sodium silicate, solid|a6e24857f9b9d0fed551e3f7f7637ec1
transport, freight, sea, container ship|0b742754f047a6a8276a0f91c812c193
N,N-dimethylformamide production|bfe7e33c243e736d76ed2af58bcc1eb5
furnace production, logs, 6kW|0d4964155a9b845cb0aeb015ea31dc76
land already in use, perennial cropland to perennial crop|321579013eaeb93bde75e823c4750ee2
folding boxboard production|5c633e760de34e3cc7983341b0f5e0dd
market for photovoltaic slanted-roof installation, 3kWp, CdTe, laminated, integrated, on roof|bc3c6ec76e3f1f7ee4ce102a42449eda
market for waste concrete gravel|c95b435f4e26c751d980cd618c0dd228
