name|key
market for waste paperboard|507716ed50652c62f0e6f4c877a9865f
electricity voltage transformation from high to medium voltage|89599896def3c5cc4e5db248c736c52a
transport, freight train, electricity|f31ec1a14212dd4e51a96e6b5e26526a
heat and power co-generation, natural gas, conventional power plant, 100MW electrical|7d96f070afc9425c41079fc74b0dc0f3
maize grain processing, dry milling|5a1a80078b52d95bbfae97c8e6093988
operation, housing system, pig, fully-slatted floor|ba318a1d1a3d0fa8fc1eef07c69e355c
treatment of waste cement in concrete and mortar, collection for final disposal|2cfa309317cb2bcd0c714fd0753e734b
market for blower and heat exchange unit, central, 600-1200 m3/h|8fcd3f5674b1ed70d131e5d17a43b0e2
esters of versatic acid production|69f917efa7ac97c4f6f94917909edf03
land already in use, annual cropland to annual crop|f259ea40f280a67a698ac1ac581f6e1b
market for sulfidic tailings, from zinc-lead mine operation|95474cf1895148c3adbf79c455cbe67d
mini CHP plant construction, common components for heat+electricity|14f7cf012ed6f8a064b72e28d0f53a3b
silicon production, electronics grade|6f6f74832df1fae9d7a05430388b681c
market for waste polyethylene|44dacea506a2ee7ccb164b4e91c7260e
market for waste polyethylene terephthalate|caee277b264af39d68a26431ac8d9cfa
treatment of waste reinforcement steel, recycling|0790edafed2c6981173e92b0142b140b
market for zucchini|96bc3e20ce3cd823d7624995f8d33430
fatty acid production, from palm oil|75bbc71f5e30d6d2c9ce44a15e28447a
market for concrete, medium strength|3098b8cc1a306f9bb19e0a641bbf579a
heat and power co-generation, oil|46c35583ba08551cf575a35bb3ccf983
market for toner module, laser printer, colour|14bb16b65bdf8e88c8b792ea5f0948a6
white spirit production, petroleum refinery operation|98b88e074fb488cb94c40c723bfe6a53
market for natural gas, high pressure|086373da2c3622e8190e15bb98cf543c
photovoltaic mounting system production, for slanted-roof installation|860ebac872ffa49398f5479039fb875d
market for dichloropropene|8281d9883f3423ce4699cfba05a101fe
bisphenol A production, powder|7a81fc0f44dcc7d602999ee6d2ab3f4a
softwood forestry, spruce, sustainable forest management|63d66bf548390f11877409e4334b188e
market for water, ultrapure|b947774e0d51c256ce85da27ce3e00c6
market for ultraviolet lamp|bdcd0dc87d3944e3892fee1dcd42c76c
market for deep drawing, steel, 38000 kN press, automode|e10933a8ab6d375f3f6b25e69d8a1e6e
heat and power co-generation, oil|04e3812ff5c84519535bb20d233e5538
market for aircraft, dedicated freight, short haul|7e91272ea211bf524c6a68ea53b9c4c8
treatment of blast furnace gas, in power plant|39624aca559146fcfdb758615cbec9e4
electricity production, hydro, run-of-river|0c8eecfcb2c70e2b19e2927dae78f36d
market for mango seedling, for planting|06431e2432e2a98195d8e2ad3b5b2eaf
market for used nitrate salts, for solar power application|ab6b06924f308e500cb435a3cbffec28
electricity, high voltage, import from BA|58638d7d748342001b82a96dba1ecf4b
electricity, from municipal waste incineration to generic market for electricity, medium voltage|8d3c1f76458313e126764c10a5f8d227
market for iron(III) sulfate, without water, in 12.5% iron solution state|e10fe55ba3884d461f2e1a505d1d6579
yarn production, cotton, ring spinning, for weaving|03ad0e9bc614a949f7f0220d050fa26d
impact extrusion of steel, cold, deformation stroke|dbc79ebcb1ecf4750e4a14ed9291fc47
heat and power co-generation, hard coal|e91ba4d6baaa449a3a410a03df32827d
glued laminated timber production, for indoor use|4aa4f76c07ee98988adeb913ac570aec
treatment of waste bitumen sheet, municipal incineration|5e051ac4294251bf65fd36cf21cf8484
maize grain production|14b4686ff13132393ca70924ce93b069
polyvinylfluoride, film production|1dfaf37c236988334fbf2d8a551a7245
nickel sulfate production|7233ba885b22e716fb64a253d8d9a965
pipeline construction, natural gas, low pressure distribution network|d36d2763a8252e83cf6096c999f882cd
land use change, pasture, man made|b32446e0b69b1cd8ea6c765234e81863
market for land use change, perennial crop|f731d03956b8b681c81b6ec85120b79c
market for uranium, enriched 4.2%, in fuel element for light water reactor|8396d1d535ad1509c37fc609748c13b8
electricity production, oil|4eb8525d1b9d112859fed98bb8d89891
motor scooter production|80c0c9d187df3249f89dd2875cbf6613
market for cement, blast furnace slag 31-50% and 31-50% other alternative constituents|15b9ab02c4c6987e6942d9cde004ff9c
hot water tank factory construction|891a0ac13bf0ecd56915845ac8998bad
market for pyridine|be57bb0602caf17f33d3e8909b6c5f46
market for triazine-compound, unspecified|f39277eb208a70727b357020b5f0395d
market for metal catalyst for catalytic converter|fc8fd69920af5d7cea18f9cd850594cc
market for scrap tin sheet|12e143123ab177f4c8f0b4ee8397d7ae
market for aluminium oxide, metallurgical|b2a25c826691c66ff1df71a4aea04097
market for offshore platform, petroleum|355e365587b9170f0ae772bdc0b7a496
market for drilling waste|d62b174a9f2372b3ee99339fbe894c9d
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014|6c613da044567ca4ab7b75c19fc8408b
hardwood forestry, eucalyptus ssp., planted forest management|f03175c46024e50eeee6a9a6da20c9e1
electricity production, hydro, reservoir, alpine region|d0657049768bd060fcbcb4692be07964
treatment of wastewater from ground granulated blast furnace slag production|39b8412cede913c2e6ae4ef46211b101
treatment of municipal solid waste, incineration|292eb316f31017fcb819e7ed065ad52b
market for land tenure, arable land, measured as carbon net primary productivity, perennial crop|65761a56296bd5bd85249370e1d89ef5
treatment of spent nuclear fuel, reprocessing|1b8cb6e54facc96e1dc46ef5eb77f9ca
market for waste polystyrene|1ff172949b3fa3c6995d0655916d2e5b
electricity production, hard coal|e6023557d061e3536c8dd9a67bd4147a
treatment of spent cation exchange resin from potable water production, municipal incineration with fly ash extraction|a7e4b7094f6cd70f9ec231cbdcce532f
wood wool production|21c259fcf5c3fa63543a9a3468547494
passenger car production, electric, without battery|63e8d5ca6fbeb630765cd1123beb00b1
market for waste polypropylene|de5fc992919ebc19ab562a24ec4c9e5a
market for cottonseed oil, crude|26850d9c7e56b568a870c23e56f35aeb
market for transport, freight, sea, container ship|3da82a289779506b180a7ebc70574c9d
cyanuric chloride production|136be4b3bbad8aa59d31ea0695349b87
air separation, xenon krypton purification|f5369e02cd1891f02b1cb325a9b63376
maize grain processing, dry milling|65fb6d213b6a5c3d91e5b6397919bf4c
market for [sulfonyl]urea-compound|db9c470281613cc211d0d2dc95c611bc
sulfate pulp production, from softwood, bleached|e9d1e51d610969fc556fc06c89fb4e2d
laser machining, metal, with YAG-laser, 120W power|9ca9e1dae6f4ae38d6d704134106006a
fluorination of sodium tetrahydridoborate|24457af6d53cb33e34b55de7d4223056
treatment of municipal solid waste, incineration|0b4b51c9c7b2d72e9f4c4218c634051d
electricity, high voltage, import from FR|73f9ed7605f8a55092848052d74f619f
market for maintenance, train, passenger, regional|6fc6ff46e016ae801a8d6220ddce19fa
treatment of coal gas, in power plant|74441d4237dd68ae17d807d21288f05b
market for radish|b43654bfc578c6d1f1c97d3431b8070e
heat and power co-generation, oil|eb1a4d95d4c6071d6dbde91510c8fe5a
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014|25ca11787fffde42068e05f6f7ae817c
market for diesel-electric generating set, 10MW|2c3b22a3ce1ec580a963cedb63189ce8
market for sulfur dichloride|a10d902595ce36a29d5ec319f344af60
electricity production, natural gas, combined cycle power plant|109e7140062a6d8e1a7066dd35935896
treatment of waste zeolite, inert material landfill|aa48383655b26131b3f4992a7d4a1699
sulfate pulp production, from softwood, bleached|727825603c9400671351481f53d070e0
roof tile production|562c9ec6817d2d3f026e5304d43b52b2
market for water supply network|e6ea58c06d7a5d7c990320c7b7d0e40b
market for mine infrastructure, open cast, uranium|570b58589760171b9c913cbb3a59426e
electricity production, photovoltaic, 3kWp slanted-roof installation, CdTe, laminated, integrated|a29040a47a2392a8c50652f854f94528
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted|76157d9b62c61d900d00c1142b8dab0e
market for electricity, medium voltage|5f32df8e3b47ce8de7114fbf18a89308
acetaldehyde oxidation|09effebfcb92ff82e8ff95830ea0d940
