name|key
market for used silencer steel, DN 315|caccebd63b6fe6138ecea868be6a4213
combine harvesting|248ed6b75367ff9edb45ae2c2abc1a40
electricity, high voltage, import from GH|0c352ac856381c17a15390bf69878e70
butanols production, hydroformylation of propylene|410b1345da4c19f6f079fad7554ecd06
recultivation, iron mine|d03f56c78847b84bb2459be2755f3b78
treatment of waste cement-fibre slab, dismantled, municipal incineration|d81481053b404b335a2e7681375b461a
market for blast furnace|9ca117da2ff33c6105b5157c12200c9f
heat and power co-generation, oil|bef9497706a3c0ab9fb54567ecb54543
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014|2e684788d08bd728e94696c75dde82e0
market for waste wood, untreated|8884adc410b7d3e3d1c55fdaec425ab6
ethylene bromide production|823b5f990afc5336b3ee20e2674ff55f
electricity production, photovoltaic, 3kWp slanted-roof installation, a-Si, panel, mounted|8a0aee190e7befe2bc68950f7a6603c6
electricity voltage transformation from high to medium voltage|6b458afa4e04a34ee1eab72e2187db57
electricity production, oil|a6b434aa32d88f585023e5aae677e6cb
market for generator, 200kW electrical|c0ec4c09a0de7fa0f6de001ba8545168
planing, lath, hardwood, u=20%|7d3ce449b3f3b827fbb064ac204e504a
market for pipeline, natural gas, long distance, high capacity, onshore|ce44e09cdd87f131644a72d0f747c3bf
market for sewage sludge, 70% water, WWT, WW from hard fibreboard production|a7cf89023f5e530cb99d9c03dac577a0
petrol production, unleaded, petroleum refinery operation|3c04e6490a1ad0d534e9c273a923681a
sodium dichromate production|b15e48e0260e2f72ae8f567346afe0a7
treatment of waste polyethylene, sanitary landfill|df0706229849672b7ca8ff4c0bf31fb1
market for electricity, low voltage|002a15e835cb7084637b11e8aa4898a4
treatment of used lorry, 16 metric ton|b1747c6e180c9f7937c2682e1345e67e
market for green manure, Swiss integrated production, until March|0b53851ad34b8b1ad0175e6712b8d3d4
electricity production, hard coal|4ce60c16c68834b49bded5ebdb51a91c
market for soybean meal|d467526717980ab5ec90818aa2510ce8
electricity production, wind, 1-3MW turbine, onshore|e9a27374052623baf0821784cdd45185
market for bottom ash, MSWI[F], waste glass|e7b62f26d5def86f48540fcc7cc95c9a
market for maize starch|b9476b77591bed31bc22e52e38470bbf
uranium conversion facility construction|6738a029f226e84ccdc27ea7d5227207
nylon 6 production|f485c2f9724fbce68a2011858ccf73f5
wood preservation, vacuum pressure method, inorganic salt, containing Cr, outdoor use, ground contact|3f38f4e7db248528721c117b7f1e43cc
yogurt production, from cow milk|82103b585e94f2a7c8ddefa33084c623
cement production, CEM IV/B|f17972afdaae4ab0bf29a19df984084e
