name|key
market for forestry harvester|625ba6711404c435fd84fec54afe7310
market for printed wiring board, through-hole mounted, unspecified, Pb containing|6be2ded69e3ef3c0d3b29b6ecc3f9b2f
light fuel oil, import from unspecified|48c2e52b817184f61fc257f01c51e437
market for brass removed by turning, primarily roughing, conventional|899477343fcd12119dec862bcbc8467f
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted|a4b0578077a40750970ef6ac9867617d
electricity production, wind, 1-3MW turbine, offshore|477475842ab53048efe39b96819cad85
treatment of waste, from silicon wafer production, underground deposit|6226651c979d9c6b7b763ae7ba3817c8
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014|ad039eac25ad40fedea0efa4e1d5b1f2
market for energy use and operation emissions, electric bicycle, label-certified electricity|fabb88f442cf00c3be1b1252fed68324
electricity production, wind, <1MW turbine, onshore|06e1d2ca7964e3f85000e90327a752c6
collector field area construction, solar thermal parabolic trough, 50 MW|b4d4d81413bb7d3e7279369ff72fbca9
aluminium alloy production, AlLi|cd997a55c6147bde85258fffa73df192
electricity production, photovoltaic, 570kWp open ground installation, multi-Si|55d77d522a5d664babcb68c302d3a744
brass drilling, computer numerical controlled|50f00c5c6a19a688e39a16cd113fc061
electricity production, natural gas, combined cycle power plant|37eced3a4a9c319f343b24170727d617
impact extrusion of steel, hot, 4 strokes|3a95957155b007a2439760d2036a1a9f
potato production|3c2f02bd6a78ce28010b643fdd92cb6b
baling|2058c6652d52e06a62a934aaacc57e6e
petroleum coke production, petroleum refinery operation|a68e549328016f6f43a6b5539ab096a5
market for converter, for electric passenger car|351c4249f91d6f57917fd11db9ddc304
market for computer, desktop, without screen|bd69a45aad3a42ac0f64be768bb03ff0
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical|b502b7cf6e14314e6d3c9199938494fe
market for methane, 96% by volume, from biogas, from medium pressure network, at service station|4f616762c8070bb52bd8f7c45effc735
treatment of waste glass sheet, sorting plant|c970e452235aec771f9a996e3f69fe64
willow production, short rotation coppice|7ca5cd9551ef351a77951eccc1b41324
transport, freight, small lorry with refrigeration machine, EURO5, CO2 refrigerant, freezing to generic market|4e47c7ac78bdae64439aecad785becd5
market for phosphorus pentachloride|559455aef13c863ef7a1a538d1301aa3
market for dung slab|1865fdd26746787bf500c75f33f4b905
market for machine operation, diesel, >= 18.64 kW and < 74.57 kW, generators|430f93a27df9c627855188e7e7cfa26d
market group for waste graphical paper|3f5bb7d8d59a2d48a548bba294cf8212
treatment of waste cooking oil, purified, esterification|2cfcb48b1a1b726556e73377dd92a7f7
market for acetic anhydride|3c8b2e864af69689e7650d51cdf9995e
electricity, high voltage, import from HU|3f08ab256a9c646d1b6ab1791581294b
market for wood preservation, vaccum pressure method, inorganic salt, containing Cr, outdoor use, ground contact|6f89890bf179045af30b5c0490866333
market for land tenure, arable land, measured as carbon net primary productivity, perennial crop|324ceabd208b88b49d3237ccbe9d16b6
market for residue from mechanical treatment, cathode ray tube display|bcb772f980f8300d74cc886105fdbc5c
electricity production, hard coal, conventional|f02117679ce7125648dd570ff626af23
market for spent anion exchange resin from potable water production|7d876e766a28fb1cbc04dd663be353be
market for chipper, stationary, electric|b0c689e656d603e65f80dee99de7fdc8
market for scrap aluminium|8a502caf7d0f03c5121d4538f6a1ce8c
electricity, high voltage, import from HU|6e99a496a7c71e40842394afd0e28f1d
treatment of waste rubber, unspecified, municipal incineration|a884276b913b29c59928cac37f3298ce
electricity, high voltage, production mix|70d8ae41883a7aab103cfaa981fc87ec
treatment of waste paperboard, inert material landfill|5cedd090a6f7052cbeaaf41b537a824a
heat and power co-generation unit construction, 200kW electrical, components for heat only|64a857c6ffff7cf41922c30718e91ad0
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014|aefbad7cbcc89314b6d6272dd865b007
cottonseed oil refinery operation|7d57148468897e984b1c1a360ee49681
sodium nitrite production|1783b0e5f76544a8d00b0837ed813d48
market for refinery sludge|2930f2b1fd786039d40e3d4c36986111
market for epoxy resin insulator, SiO2|618e46594d5d088c9377c613a15ac35a
treatment of sludge from steel rolling, residual material landfill|b1e1db709e41f81f8ad2c222b4baf907
market for used intermodal shipping container, 40-foot|ee08e70b395b823d498fb4dce37df94c
electricity production, natural gas, combined cycle power plant|4ff9c03756c674266b6517757da45388
train production, passenger, high speed|7ae9c544c68070bf4f64b3ac4c58623d
market for cement, blast furnace slag 81-95%|23e961901d55e8c312f9c9d158ba6d79
oil storage production, 3000l|82ca10af1d46b2569f4f23de15e39c94
dodecanol production, from coconut oil|690623e54ee6c95d81c9cd13c80dc37c
operation, housing system, pig, label-certified|9911e18b1ecda7a206041987430cbe01
land use change, annual crop|82f6c394def1a49bdc3ee779e8138d93
market for sodium silicate, without water, in 37% solution state|41c0feaf12b1a1565ae0488e4dbc1519
transport, freight, lorry 7.5-16 metric ton, EURO5|69cf14627c0f4b363e075742bb5fc76a
market for anthranilic acid|4c72be4c452b19727cbf0fe26708fcb9
cumene production|a88690f9c7019a01b8a1cb94b9bcfbb6
hard coal mine operation, open cast, truck and shovel|970ae8e0745fb8ff7dcd59e04d8ba7f7
decarboxylative cyclization of adipic acid|9486bdf6cfb6b5820955d18a97eaf3e5
market for ammonia, liquid|8767788e0ab970963e04e8b4a9065350
methane production, 96% by volume, from biogas, from high pressure network, at service station|4784716d387eba793184b5522af5a541
electricity production, natural gas, combined cycle power plant|cc2e36b9e1ae4fa1f891071ded48dbf1
process-specific burdens, slag landfill|5124c7e873d42e4d84c5eb879a4a0959
market for train, passenger, high speed|f754df0b52ea970cc3d7518d3046876c
market for waste polypropylene|55e669a95984464434893d5984556347
hydroformylation of propylene|aacdadb83a63d3e9df3d54e60d9bf930
market for waste packaging paper|13a679d8f8cf6ba4ad19e5106ffa5f6f
electricity production, nuclear, boiling water reactor|0422159d7e8220486f45c5fab8980eb7
market for used air filter decentralized unit, 180-250 m3/h|6b4a7b7d22f5afa7ecffd11d4af0bc85
